start time(ns),end time(ns),duration(ns)
734,508418662,508417928
508426543,918601943,410175400
918606497,1324569929,405963432
1324574432,1724949851,400375419
1724954316,2141970536,417016220
2141977985,2543101285,401123300
2543105361,2945267270,402161909
2945270955,3356867714,411596759
3356872478,3759994423,403121945
3760001958,4166706971,406705013
4166710904,4563907651,397196747
4563911532,4973959485,410047953
4973963725,5383600732,409637007
5383605466,5781021029,397415563
5781024668,6193927972,412903304
6193931787,6602568501,408636714
6602573807,7000311085,397737278
7000320615,7409356165,409035550
7409359820,7816879366,407519546
7816883885,8224007442,407123557
8224011045,8625639761,401628716
8625643691,9035364548,409720857
9035369364,9436585797,401216433
9436590567,9842747481,406156914
9842751171,10251667428,408916257
10251672211,10655638394,403966183
10655645920,11059371695,403725775
11059375299,11462067540,402692241
11462071395,11869916928,407845533
11869921549,12276296203,406374654
12276300012,12680334261,404034249
12680339087,13086161182,405822095
13086165354,13490330434,404165080
13490337413,13896383041,406045628
13896386567,14307294451,410907884
14307298352,14715794285,408495933
14715799043,15120977451,405178408
15120981079,15519249109,398268030
15519253280,15923456503,404203223
15923460153,16332635029,409174876
16332640185,16739550828,406910643
16739554061,17142651159,403097098
17142655105,17552739136,410084031
17552742764,17956049094,403306330
17956052503,18406582559,450530056
18406586110,18806598354,400012244
18806601921,19215265770,408663849
19215270666,19609887417,394616751
19609891724,20018614312,408722588
20018618043,20433364962,414746919
20433368861,20831129267,397760406
20831134152,21240235923,409101771
21240239297,21642699227,402459930
21642705546,22055266674,412561128
22055270205,22464206368,408936163
22464211871,22865958857,401746986
22865962813,23266461102,400498289
23266464821,23672261400,405796579
23672265239,24080897807,408632568
24080903480,24490153650,409250170
24490157724,24895276312,405118588
24895281107,25300610885,405329778
25300614970,25705222054,404607084
25705225802,26112587854,407362052
26112592478,26523149952,410557474
26523157057,26926747388,403590331
26926753286,27323065215,396311929
27323071767,27734854748,411782981
27734858097,28139776873,404918776
28139781920,28541991030,402209110
28541997033,28974823139,432826106
28974828555,29361687053,386858498
29361690979,29797749280,436058301
29797753047,30190014044,392260997
30190018311,30582223142,392204831
30582226857,31000359425,418132568
31000363070,31401178632,400815562
31401182268,31811481159,410298891
31811485092,32221883740,410398648
32221889477,32611318872,389429395
32611323500,33036812895,425489395
33036817590,33466034522,429216932
33466038562,33864271153,398232591
33864275083,34276768585,412493502
34276773727,34726815725,450041998
34726820686,35116914713,390094027
35116918703,35476445010,359526307
35476448974,35869316635,392867661
35869321916,36324646608,455324692
36324651301,36686978752,362327451
36686987575,37110819881,423832306
37110823473,37494678192,383854719
37494681602,37905265184,410583582
37905270334,38307307325,402036991
38307311718,38724808003,417496285
38724811879,39130931224,406119345
39130935123,39523282320,392347197
39523286679,39931225611,407938932
39931229503,40328924096,397694593
40328928505,40743837478,414908973
